"seq_unique","PCs"
"seq1",4
"seq10",4
"seq11",1
"seq12",1
"seq13",1
"seq14",2
"seq15",1
"seq16",1
"seq2",4
"seq3",4
"seq4",11
"seq5",4
"seq6",5
"seq7",1
"seq8",1
"seq9",1
