"seq_unique","IGHA1","IGHA2"
"seq1",5,0
"seq10",0,2
"seq11",1,0
"seq12",0,1
"seq13",1,0
"seq14",1,0
"seq15",0,3
"seq16",2,0
"seq17",1,0
"seq18",1,0
"seq19",1,0
"seq2",1,0
"seq3",7,0
"seq4",7,0
"seq5",2,0
"seq6",0,5
"seq7",1,0
"seq8",0,1
"seq9",1,0
