"seq_unique","Memory_Bcells","PCs"
"seq1",1,4
"seq10",0,2
"seq11",0,1
"seq12",0,1
"seq13",0,1
"seq14",0,1
"seq15",0,3
"seq16",0,2
"seq17",0,1
"seq18",0,1
"seq19",0,1
"seq2",1,0
"seq3",1,6
"seq4",1,6
"seq5",0,2
"seq6",0,5
"seq7",0,1
"seq8",0,1
"seq9",0,1
