"seq_unique","IGHA1","IGHA2","NA"
"seq1",33,43,13
"seq10",1,0,0
"seq11",1,0,0
"seq12",1,0,0
"seq13",1,0,0
"seq14",1,0,0
"seq2",0,1,0
"seq3",3,0,2
"seq4",0,1,0
"seq5",3,1,1
"seq6",1,0,0
"seq7",0,1,0
"seq8",1,0,0
"seq9",1,0,0
