seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_9:sequence_15:sequence_24:sequence_29:sequence_31:sequence_35:sequence_36:sequence_40:sequence_42:sequence_44:sequence_45:sequence_48:sequence_53,PCs,IGHA1,HH117-SI-MILF-INF:HH117-SILP-INF:HH117-SILP-nonINF,2,1,5
seq10,sequence_16,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq11,sequence_17:sequence_30:sequence_34:sequence_39:sequence_43:sequence_59:sequence_66:sequence_67,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq12,sequence_21:sequence_25:sequence_58,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq13,sequence_28:sequence_37:sequence_55:sequence_61:sequence_63,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq14,sequence_41,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq15,sequence_50,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq16,sequence_57,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq2,sequence_2:sequence_14,PCs,IGHA1,HH117-SI-MILF-INF:HH117-SILP-INF,2,1,4
seq3,sequence_3:sequence_18:sequence_19:sequence_27:sequence_32,Memory_Bcells:PCs,IGHG1:IGHA1,HH117-SI-MILF-nonINF:HH117-SILP-INF,1,3,6
seq4,sequence_4:sequence_52:sequence_56:sequence_64,PCs,IGHA1,HH117-SI-PP-nonINF_Fol-2:HH117-SILP-nonINF:HH117-SILP-INF,2,1,7
seq5,sequence_5,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq6,sequence_6:sequence_8:sequence_11:sequence_12:sequence_22:sequence_23:sequence_33:sequence_49:sequence_51:sequence_54:sequence_60:sequence_65,PCs,IGHA1:IGHA2,HH117-SILP-INF:HH117-SILP-nonINF,2,2,2
seq7,sequence_7:sequence_46,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq8,sequence_10:sequence_38:sequence_47,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq9,sequence_13:sequence_20:sequence_26:sequence_62,PCs,IGHA1,HH117-SILP-INF,2,1,1
