"seq_unique","IGHA1","NA"
"seq1",11,0
"seq10",1,0
"seq11",1,0
"seq12",1,0
"seq13",0,1
"seq14",0,1
"seq2",7,1
"seq3",7,2
"seq4",4,1
"seq5",10,2
"seq6",0,1
"seq7",1,0
"seq8",0,2
"seq9",2,0
