seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,Memory_Bcells,IGHA2,HH119-CO-SMILF,1,2,2
seq10,sequence_10,Memory_Bcells,IGHA2,HH119-SI-PP_Fol-12,1,2,7
seq11,sequence_11:sequence_27,Memory_Bcells:PCs,IGHA2,HH119-SI-PP_Fol-28:HH119-SILP,2,2,8
seq12,sequence_12:sequence_16:sequence_35:sequence_61:sequence_67,Memory_Bcells:PCs,IGHA2,HH119-SI-PP_Fol-3:HH119-SILP,2,2,9
seq13,sequence_13:sequence_15:sequence_20:sequence_25:sequence_37:sequence_43:sequence_44:sequence_45:sequence_48:sequence_52:sequence_55:sequence_58:sequence_60:sequence_65:sequence_66:sequence_68:sequence_73:sequence_74:sequence_77:sequence_78:sequence_79:sequence_80:sequence_81,PCs,IGHA2:IGHA1,HH119-SILP,3,3,3
seq14,sequence_14,PCs,IGHA2,HH119-SILP,3,2,3
seq15,sequence_17,PCs,IGHA2,HH119-SILP,3,2,3
seq16,sequence_18:sequence_56:sequence_71,PCs,IGHA1,HH119-SILP,3,1,3
seq17,sequence_19:sequence_21:sequence_40,PCs,IGHA2,HH119-SILP,3,2,3
seq18,sequence_22:sequence_23:sequence_28:sequence_57:sequence_64,PCs,IGHA2,HH119-SILP,3,2,3
seq19,sequence_24,PCs,IGHA1,HH119-SILP,3,1,3
seq2,sequence_2,Memory_Bcells,IGHA1,HH119-CO-SMILF,1,1,2
seq20,sequence_26,PCs,IGHA2,HH119-SILP,3,2,3
seq21,sequence_29:sequence_53:sequence_54:sequence_70,PCs,IGHA2,HH119-SILP,3,2,3
seq22,sequence_30:sequence_38,PCs,IGHA2,HH119-SILP,3,2,3
seq23,sequence_31,PCs,IGHA2,HH119-COLP,3,2,1
seq24,sequence_33,PCs,IGHA2,HH119-SILP,3,2,3
seq25,sequence_34,PCs,IGHA1,HH119-SILP,3,1,3
seq26,sequence_36,PCs,IGHA2,HH119-SILP,3,2,3
seq27,sequence_39,PCs,IGHA1,HH119-SILP,3,1,3
seq28,sequence_41,PCs,IGHA2,HH119-SILP,3,2,3
seq29,sequence_42,PCs,IGHA2,HH119-SILP,3,2,3
seq3,sequence_3,PCs,IGHA1,HH119-COLP,3,1,1
seq30,sequence_46,PCs,IGHA2,HH119-SILP,3,2,3
seq31,sequence_47:sequence_63,PCs,IGHA2,HH119-SILP,3,2,3
seq32,sequence_49,PCs,IGHA1,HH119-SILP,3,1,3
seq33,sequence_50,PCs,IGHA1,HH119-SILP,3,1,3
seq34,sequence_59,PCs,IGHA2,HH119-SILP,3,2,3
seq35,sequence_62,PCs,IGHA2,HH119-SILP,3,2,3
seq36,sequence_69,PCs,IGHA1,HH119-SILP,3,1,3
seq37,sequence_72,PCs,IGHA1,HH119-SILP,3,1,3
seq38,sequence_75,PCs,IGHA1,HH119-SILP,3,1,3
seq39,sequence_76,PCs,IGHA1,HH119-SILP,3,1,3
seq4,sequence_4,Memory_Bcells,IGHA2,HH119-SI-MILF,1,2,4
seq5,sequence_5:sequence_32,Memory_Bcells:PCs,IGHA2,HH119-SI-MILF:HH119-COLP,2,2,5
seq6,sequence_6,Memory_Bcells,IGHA1,HH119-SI-MILF,1,1,4
seq7,sequence_7,Memory_Bcells,IGHA1,HH119-SI-MILF,1,1,4
seq8,sequence_8:sequence_51,PCs,IGHA2,HH119-SI-MILF:HH119-SILP,3,2,6
seq9,sequence_9,Memory_Bcells,IGHA2,HH119-SI-MILF,1,2,4
