"seq_unique","PCs"
"seq1",11
"seq10",1
"seq11",1
"seq12",1
"seq13",1
"seq14",1
"seq2",8
"seq3",9
"seq4",5
"seq5",12
"seq6",1
"seq7",1
"seq8",2
"seq9",2
