"seq_unique","PCs","Memory_Bcells"
"seq1",15,0
"seq10",2,0
"seq11",4,0
"seq12",1,0
"seq13",1,0
"seq14",1,0
"seq15",1,0
"seq16",2,0
"seq17",1,0
"seq18",1,0
"seq19",1,0
"seq2",1,0
"seq20",12,2
"seq21",1,0
"seq22",1,0
"seq3",14,0
"seq4",34,0
"seq5",1,0
"seq6",4,0
"seq7",1,0
"seq8",2,0
"seq9",1,0
