"seq_unique","PCs"
"seq1",41
"seq10",5
"seq11",2
"seq12",2
"seq13",1
"seq14",3
"seq15",6
"seq16",1
"seq17",5
"seq18",1
"seq19",1
"seq2",6
"seq3",3
"seq4",1
"seq5",3
"seq6",9
"seq7",2
"seq8",4
"seq9",1
