"seq_unique","HH119-COLP","HH119-SILP"
"seq1",5,0
"seq10",1,0
"seq11",1,1
"seq12",2,0
"seq13",5,0
"seq14",1,0
"seq15",1,0
"seq16",1,0
"seq17",3,0
"seq18",3,0
"seq2",1,0
"seq3",1,0
"seq4",2,0
"seq5",1,0
"seq6",4,0
"seq7",1,0
"seq8",3,0
"seq9",5,0
