seq_unique,seq_name,L1_annotation,c_call,sample_clean_fol,L1_annotation_int,c_call_int,sample_clean_fol_int
seq3254,sequence_7128:sequence_7153:sequence_7157:sequence_7163:sequence_7165:sequence_7184:sequence_7192:sequence_7209:sequence_7211:sequence_7218:sequence_7220:sequence_7223:sequence_7226:sequence_7230:sequence_7234:sequence_7236:sequence_7248:sequence_7253:sequence_7257:sequence_7266:sequence_7267:sequence_7268:sequence_7282:sequence_7285:sequence_7296:sequence_7298:sequence_7302:sequence_7312:sequence_7334:sequence_7337:sequence_7345:sequence_7359:sequence_7363:sequence_7380:sequence_7386:sequence_7396:sequence_7414:sequence_7416:sequence_7427:sequence_7440:sequence_7453:sequence_7454:sequence_7456:sequence_7465:sequence_7476:sequence_7501:sequence_7505:sequence_7508:sequence_7513:sequence_7515:sequence_7525:sequence_7526:sequence_7529:sequence_7550:sequence_7552:sequence_7555:sequence_7566:sequence_7567:sequence_7572:sequence_7574:sequence_7577:sequence_7603:sequence_7605:sequence_7616:sequence_7628:sequence_7637:sequence_7640:sequence_7646:sequence_7648:sequence_7650:sequence_7654:sequence_7668:sequence_7682:sequence_7685:sequence_7697:sequence_7700:sequence_7710:sequence_7712:sequence_7727:sequence_7738:sequence_7742:sequence_7746:sequence_7748:sequence_7756:sequence_7763:sequence_7766:sequence_7770:sequence_7773:sequence_7774:sequence_7775:sequence_7793:sequence_7796:sequence_7801:sequence_7827:sequence_7834:sequence_7837:sequence_7860:sequence_7861:sequence_7869:sequence_7874:sequence_7877:sequence_7879:sequence_7918:sequence_7921:sequence_7932:sequence_7935:sequence_7937:sequence_7939:sequence_7946:sequence_7947,GC_B_cells,IGHG1:NA,HH119-SI-PP_Fol-34:HH119-SI-PP_Fol-31:HH119-SI-PP_Fol-29:HH119-SI-PP_Fol-22:HH119-SI-PP_Fol-25,1,12,94
seq3255,sequence_7129,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3256,sequence_7130,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3257,sequence_7131:sequence_7148:sequence_7299:sequence_7587:sequence_7805:sequence_7873:sequence_7969,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34:HH119-SI-PP_Fol-27,1,6,92
seq3258,sequence_7133,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3259,sequence_7134:sequence_7252,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq326,sequence_483,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3260,sequence_7135:sequence_7150:sequence_7468,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3261,sequence_7136:sequence_7506,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3262,sequence_7137,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3263,sequence_7139,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3264,sequence_7140,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3265,sequence_7141,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3266,sequence_7142,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3267,sequence_7143,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3268,sequence_7144,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3269,sequence_7146,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq327,sequence_485,GC_B_cells,IGHG3,HH119-SI-MILF,1,20,4
seq3270,sequence_7147:sequence_7288:sequence_7404:sequence_7802:sequence_7917:sequence_7931,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3271,sequence_7149:sequence_7170:sequence_7262:sequence_7279:sequence_7307:sequence_7367:sequence_7371:sequence_7487:sequence_7571:sequence_7580:sequence_7586:sequence_7617:sequence_7815:sequence_7852:sequence_7920,GC_B_cells:Memory_Bcells,IGHG1,HH119-SI-PP_Fol-34:HH119-SI-PP_Fol-32,2,6,95
seq3272,sequence_7151,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3273,sequence_7152:sequence_7168:sequence_7457,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3274,sequence_7154:sequence_7437,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3275,sequence_7156:sequence_7283:sequence_7324:sequence_7391:sequence_7807:sequence_7858,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3276,sequence_7158:sequence_7378,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3277,sequence_7159,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3278,sequence_7160:sequence_7352:sequence_7527,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3279,sequence_7161,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq328,sequence_486,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3280,sequence_7162,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3281,sequence_7164,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3282,sequence_7166,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3283,sequence_7167,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3284,sequence_7169,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3285,sequence_7171,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3286,sequence_7172,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3287,sequence_7173:sequence_7463:sequence_7633:sequence_7752:sequence_7780:sequence_7954,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3288,sequence_7174:sequence_7495,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3289,sequence_7175:sequence_7950,GC_B_cells,IGHG1,HH119-SI-PP_Fol-24:HH119-SI-PP_Fol-34,1,6,74
seq329,sequence_487,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3290,sequence_7176,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3291,sequence_7178:sequence_7522,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3292,sequence_7179,GC_B_cells,IGHG1,HH119-SI-PP_Fol-24,1,6,72
seq3293,sequence_7180,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3294,sequence_7181:sequence_7563:sequence_7592,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3295,sequence_7182:sequence_7193:sequence_7235:sequence_7347:sequence_7945,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3296,sequence_7183,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3297,sequence_7187,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3298,sequence_7188,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3299,sequence_7189,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq33,sequence_36,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq330,sequence_489,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3300,sequence_7190,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3301,sequence_7191,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3302,sequence_7194,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3303,sequence_7196,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3304,sequence_7198:sequence_7205:sequence_7254:sequence_7831:sequence_7890,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3305,sequence_7199:sequence_7303:sequence_7328:sequence_7466:sequence_7489:sequence_7548:sequence_7711:sequence_7716:sequence_7900:sequence_7903:sequence_7928,GC_B_cells,IGHG1,HH119-SI-PP_Fol-18:HH119-SI-PP_Fol-34,1,6,51
seq3306,sequence_7200:sequence_7250,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3307,sequence_7201,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3308,sequence_7202,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3309,sequence_7203,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq331,sequence_491,GC_B_cells,IGHA2,HH119-SI-MILF,1,2,4
seq3310,sequence_7204,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3311,sequence_7206,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3312,sequence_7207,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3313,sequence_7210,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3314,sequence_7213,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3315,sequence_7214,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3316,sequence_7215,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3317,sequence_7216,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3318,sequence_7217,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3319,sequence_7219:sequence_7656:sequence_7693:sequence_7726,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq332,sequence_492,GC_B_cells,IGHM,HH119-SI-MILF,1,24,4
seq3320,sequence_7222,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3321,sequence_7224:sequence_7613,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3322,sequence_7225,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3323,sequence_7228,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3324,sequence_7229,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3325,sequence_7231,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3326,sequence_7232,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3327,sequence_7233,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3328,sequence_7237,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3329,sequence_7239,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq333,sequence_494,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3330,sequence_7240,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3331,sequence_7242,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3332,sequence_7244,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3333,sequence_7245,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3334,sequence_7246:sequence_7678,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3335,sequence_7247,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
