"seq_unique","PCs","NA"
"seq2264",0,2
"seq2265",0,1
"seq2266",0,1
"seq2267",0,1
"seq2268",0,3
"seq2269",0,2
"seq227",0,1
"seq2270",0,1
"seq2271",0,1
"seq2272",0,1
"seq2273",0,1
"seq2274",0,1
"seq2275",0,1
"seq2276",0,1
"seq2277",0,1
"seq2278",0,1
"seq2279",0,1
"seq228",0,1
"seq2280",0,1
"seq2281",0,1
"seq2282",0,1
"seq2283",0,3
"seq2284",0,1
"seq2285",0,1
"seq2286",0,1
"seq2287",0,1
"seq2288",0,1
"seq2289",0,1
"seq229",0,3
"seq2290",0,2
"seq2291",0,1
"seq2292",0,1
"seq2293",0,1
"seq2294",0,1
"seq2295",0,1
"seq2296",0,1
"seq2297",0,1
"seq2298",0,1
"seq2299",0,4
"seq23",1,0
"seq230",0,1
"seq2300",0,1
"seq2301",0,1
"seq2302",0,1
"seq2303",0,1
"seq2304",0,1
"seq2305",0,1
"seq2306",0,1
"seq2307",0,1
"seq2308",0,1
"seq2309",0,3
"seq231",0,1
"seq2310",0,1
"seq2311",0,2
"seq2312",0,1
"seq2313",0,1
"seq2314",0,3
"seq2315",0,1
"seq2316",0,1
"seq2317",0,1
"seq2318",0,1
"seq2319",0,1
"seq232",0,1
"seq2320",0,2
"seq2321",0,1
"seq2322",0,1
"seq2323",0,1
"seq2324",0,1
"seq2325",0,1
"seq2326",0,1
"seq2327",0,1
"seq2328",0,2
"seq2329",0,1
"seq233",0,1
"seq2330",0,1
"seq2331",0,2
"seq2332",0,2
"seq2333",0,1
"seq2334",0,1
"seq2335",0,1
"seq2336",0,1
"seq2337",0,1
"seq2338",0,1
"seq2339",0,1
"seq234",0,1
"seq2340",0,1
"seq2341",0,1
"seq2342",0,1
"seq2343",0,1
"seq2344",0,1
"seq2345",0,1
"seq2346",0,1
"seq2347",0,1
"seq2348",0,1
"seq2349",0,1
"seq235",0,1
"seq2350",0,1
"seq2351",0,1
"seq2352",0,1
"seq2353",0,1
"seq2354",0,1
"seq2355",0,3
"seq2356",0,1
"seq2357",0,1
"seq2358",0,1
"seq2359",0,1
"seq236",0,1
"seq2360",0,1
"seq2361",0,1
"seq2362",0,1
"seq2363",0,1
"seq2364",0,1
"seq2365",0,1
"seq2366",0,1
"seq2367",0,1
"seq2368",0,1
"seq2369",0,1
"seq237",0,1
"seq2370",0,1
"seq2371",0,1
"seq2372",0,1
"seq2373",0,1
"seq2374",0,1
"seq2375",0,1
"seq2376",0,1
"seq2377",0,1
"seq2378",0,1
"seq2379",0,1
"seq238",0,1
"seq2380",0,3
"seq2381",0,1
"seq2382",0,1
"seq2383",0,1
"seq2384",0,1
"seq2385",0,2
"seq2386",0,1
"seq2387",0,1
"seq2388",0,1
"seq2389",0,1
"seq239",0,1
"seq2390",0,1
"seq2391",0,1
"seq2392",0,1
"seq2393",0,1
"seq2394",0,1
"seq2395",0,1
"seq2396",0,1
"seq2397",0,1
"seq2398",0,4
"seq2399",0,1
"seq24",1,0
"seq240",0,1
"seq2400",0,1
"seq2401",0,1
"seq2402",0,3
"seq2403",0,1
"seq2404",0,1
"seq2405",0,1
"seq2406",0,1
"seq2407",0,1
"seq2408",0,2
"seq2409",0,1
"seq241",0,1
"seq2410",0,1
"seq2411",0,1
"seq2412",0,1
"seq2413",0,1
"seq2414",0,1
"seq2415",0,1
"seq2416",0,1
"seq2417",0,1
"seq2418",0,2
"seq2419",0,1
"seq242",0,1
"seq2420",0,1
"seq2421",0,1
"seq2422",0,2
"seq2423",0,1
"seq2424",0,1
"seq2425",0,1
"seq2426",0,1
"seq2427",0,1
"seq2428",0,1
"seq2429",0,1
"seq243",0,1
"seq2430",0,1
"seq2431",0,1
"seq2432",0,3
"seq2433",0,1
"seq2434",0,2
"seq2435",0,1
"seq2436",0,1
"seq2437",0,1
"seq2438",0,1
"seq2439",0,1
"seq244",0,1
"seq2440",0,1
"seq2441",0,1
"seq2442",0,1
"seq2443",0,1
"seq2444",0,1
"seq2445",0,1
"seq2446",0,1
"seq2447",0,1
"seq2448",0,1
"seq2449",0,1
"seq245",0,1
"seq2450",0,1
"seq2451",0,1
"seq2452",0,1
"seq2453",0,1
"seq2454",0,1
"seq2455",0,1
"seq2456",0,1
"seq2457",0,1
"seq2458",0,1
"seq2459",0,2
"seq246",0,1
"seq2460",0,1
"seq2461",0,2
"seq2462",0,1
"seq2463",0,1
"seq2464",0,1
"seq2465",0,2
"seq2466",0,1
"seq2467",0,1
"seq2468",0,1
"seq2469",0,1
"seq247",0,1
"seq2470",0,1
"seq2471",0,1
"seq2472",0,1
"seq2473",0,1
"seq2474",0,1
"seq2475",0,1
"seq2476",0,1
"seq2477",0,1
"seq2478",0,1
"seq2479",0,1
"seq248",0,1
"seq2480",0,1
"seq2481",0,1
"seq2482",0,1
"seq2483",0,1
"seq2484",0,1
"seq2485",0,1
"seq2486",0,1
"seq2487",0,1
"seq2488",0,1
"seq2489",0,1
"seq249",0,2
"seq2490",0,1
"seq2491",0,1
"seq2492",0,1
"seq2493",0,1
"seq2494",0,1
"seq2495",0,1
"seq2496",0,1
"seq2497",0,1
"seq2498",0,1
"seq2499",0,1
"seq25",1,9
"seq250",0,1
"seq2500",0,1
"seq2501",0,1
"seq2502",0,2
"seq2503",0,2
"seq2504",0,1
"seq2505",0,1
"seq2506",0,1
"seq2507",0,1
"seq2508",0,1
"seq2509",0,1
"seq251",0,1
"seq2510",0,1
"seq2511",0,1
"seq2512",0,1
"seq2513",0,1
"seq2514",0,1
"seq2515",0,1
"seq2516",0,1
"seq2517",0,1
"seq2518",0,1
"seq2519",0,1
"seq252",0,1
"seq2520",0,1
"seq2521",0,1
"seq2522",0,1
"seq2523",0,1
"seq2524",0,1
"seq2525",0,1
"seq2526",0,1
"seq2527",0,1
"seq2528",0,1
"seq2529",0,1
"seq253",0,1
"seq2530",0,1
"seq2531",0,1
"seq2532",0,1
"seq2533",0,1
"seq2534",0,1
"seq2535",0,1
"seq2536",0,1
"seq2537",0,1
"seq2538",0,1
"seq2539",0,1
"seq254",0,1
"seq2540",0,1
"seq2541",0,1
"seq2542",0,1
"seq2543",0,1
"seq2544",0,1
"seq2545",0,1
"seq2546",0,1
"seq2547",0,1
"seq2548",0,1
"seq2549",0,1
"seq255",0,1
"seq2550",0,1
"seq2551",0,1
"seq2552",0,1
"seq2553",0,1
"seq2554",0,1
"seq2555",0,1
"seq2556",0,1
"seq2557",0,1
"seq2558",0,1
"seq2559",0,1
"seq256",0,1
"seq2560",0,1
"seq2561",0,1
"seq2562",0,1
"seq2563",0,1
"seq2564",0,2
"seq2565",0,1
"seq2566",0,2
"seq2567",0,1
"seq2568",0,1
"seq2569",0,1
"seq257",0,1
"seq2570",0,1
"seq2571",0,1
"seq2572",0,1
"seq2573",0,1
"seq2574",0,1
"seq2575",0,1
"seq2576",0,1
"seq2577",0,1
"seq2578",0,3
"seq2579",0,1
"seq258",0,1
"seq2580",0,1
"seq2581",0,1
"seq2582",0,2
"seq2583",0,1
"seq2584",0,1
"seq2585",0,1
"seq2586",0,1
"seq2587",0,1
"seq2588",0,1
"seq2589",0,1
"seq259",0,1
"seq2590",0,1
"seq2591",0,1
"seq2592",0,1
"seq2593",0,2
"seq2594",0,1
"seq2595",0,1
"seq2596",0,2
"seq2597",0,2
"seq2598",0,1
"seq2599",0,1
"seq26",1,2
"seq260",0,1
"seq2600",0,1
"seq2601",0,3
"seq2602",0,1
"seq2603",0,1
"seq2604",0,1
"seq2605",0,1
"seq2606",0,1
"seq2607",0,1
"seq2608",0,1
"seq2609",0,1
"seq261",0,3
"seq2610",0,1
"seq2611",0,1
"seq2612",0,1
"seq2613",0,1
"seq2614",0,1
"seq2615",0,3
"seq2616",0,1
"seq2617",0,1
"seq2618",0,1
"seq2619",0,1
"seq262",0,1
"seq2620",0,1
"seq2621",0,1
"seq2622",0,1
"seq2623",0,1
"seq2624",0,1
"seq2625",0,1
"seq2626",0,1
"seq2627",0,1
"seq2628",0,1
"seq2629",0,1
"seq263",0,1
"seq2630",0,1
"seq2631",0,1
"seq2632",0,1
"seq2633",0,1
"seq2634",0,1
"seq2635",0,1
"seq2636",0,1
"seq2637",0,1
"seq2638",0,1
"seq2639",0,1
"seq264",0,1
"seq2640",0,1
"seq2641",0,1
"seq2642",0,1
"seq2643",0,1
"seq2644",0,1
"seq2645",0,1
"seq2646",0,1
"seq2647",0,1
"seq2648",0,1
"seq2649",0,1
"seq265",0,1
"seq2650",0,1
"seq2651",0,1
"seq2652",0,1
"seq2653",0,1
"seq2654",0,1
"seq2655",0,1
"seq2656",0,1
"seq2657",0,1
"seq2658",0,1
"seq2659",0,1
"seq266",0,2
"seq2660",0,1
"seq2661",0,1
"seq2662",0,2
"seq2663",0,1
"seq2664",0,1
"seq2665",0,1
"seq2666",0,1
"seq2667",0,1
"seq2668",0,1
"seq2669",0,1
"seq267",0,1
"seq2670",0,1
"seq2671",0,1
"seq2672",0,1
"seq2673",0,1
"seq2674",0,1
"seq2675",0,1
"seq2676",0,1
"seq2677",0,1
"seq2678",0,1
"seq2679",0,1
"seq268",0,1
"seq2680",0,1
"seq2681",0,1
"seq2682",0,1
"seq2683",0,1
"seq2684",0,1
"seq2685",0,1
"seq2686",0,1
"seq2687",0,1
"seq2688",0,1
"seq2689",0,1
"seq269",0,1
"seq2690",0,1
"seq2691",0,1
"seq2692",0,1
"seq2693",0,1
"seq2694",0,1
"seq2695",0,1
"seq2696",0,1
"seq2697",0,1
"seq2698",0,1
"seq2699",0,1
"seq27",1,5
"seq270",0,2
"seq2700",0,1
"seq2701",0,1
"seq2702",0,1
"seq2703",0,1
"seq2704",0,1
"seq2705",0,1
"seq2706",0,1
"seq2707",0,2
"seq2708",0,1
"seq2709",0,1
"seq271",0,1
"seq2710",0,1
"seq2711",0,1
"seq2712",0,1
"seq2713",0,1
"seq2714",0,1
"seq2715",0,1
"seq2716",0,1
"seq2717",0,1
"seq2718",0,1
"seq2719",0,1
"seq272",0,1
"seq2720",0,1
"seq2721",0,1
"seq2722",0,1
"seq2723",0,1
"seq2724",0,1
"seq2725",0,1
"seq2726",0,1
"seq2727",0,1
"seq2728",0,1
"seq2729",0,1
"seq273",0,1
"seq2730",0,1
"seq2731",0,1
"seq2732",0,1
"seq2733",0,1
"seq2734",0,1
"seq2735",0,1
"seq2736",0,1
"seq2737",0,1
"seq2738",0,1
"seq2739",0,1
"seq274",0,1
"seq2740",0,1
"seq2741",0,1
"seq2742",0,1
"seq2743",0,1
"seq2744",0,1
"seq2745",0,1
"seq2746",0,1
"seq2747",0,1
"seq2748",0,1
"seq2749",0,1
"seq275",0,1
"seq2750",0,1
"seq2751",0,1
"seq2752",0,1
"seq2753",0,1
"seq2754",0,1
"seq2755",0,1
"seq2756",0,1
"seq2757",0,1
"seq2758",0,1
"seq2759",0,3
"seq276",0,1
"seq2760",0,1
"seq2761",0,1
"seq2762",0,1
"seq2763",0,1
"seq2764",0,1
"seq2765",0,1
"seq2766",0,1
"seq2767",0,1
"seq2768",0,1
"seq2769",0,1
"seq277",0,1
"seq2770",0,1
"seq2771",0,1
"seq2772",0,1
"seq2773",0,1
"seq2774",0,1
"seq2775",0,1
"seq2776",0,1
"seq2777",0,1
"seq2778",0,1
"seq2779",0,1
"seq278",0,1
"seq2780",0,1
"seq2781",0,1
"seq2782",0,1
"seq2783",0,1
"seq2784",0,1
"seq2785",0,1
"seq2786",0,1
"seq2787",0,1
"seq2788",0,1
"seq2789",0,2
"seq279",0,1
"seq2790",0,1
"seq2791",0,1
"seq2792",0,1
"seq2793",0,1
"seq2794",0,1
"seq2795",0,1
"seq2796",0,1
"seq2797",0,1
"seq2798",0,1
"seq2799",0,1
"seq28",1,0
"seq280",0,1
"seq2800",0,1
"seq2801",0,1
"seq2802",0,1
"seq2803",0,1
"seq2804",0,1
"seq2805",0,1
"seq2806",0,1
"seq2807",0,1
"seq2808",0,1
"seq2809",0,1
"seq281",0,1
"seq2810",0,1
"seq2811",0,1
"seq2812",0,1
"seq2813",0,1
"seq2814",0,1
"seq2815",0,1
"seq2816",0,1
"seq2817",0,1
"seq2818",0,1
"seq2819",0,1
"seq282",0,1
"seq2820",0,1
"seq2821",0,1
"seq2822",0,1
"seq2823",0,1
"seq2824",0,1
"seq2825",0,1
"seq2826",0,1
"seq2827",0,1
"seq2828",0,1
"seq2829",0,1
"seq283",0,1
"seq2830",0,1
"seq2831",0,1
"seq2832",0,1
"seq2833",0,1
"seq2834",0,1
"seq2835",0,1
"seq2836",0,1
"seq2837",0,1
"seq2838",0,1
"seq2839",0,1
"seq284",0,1
"seq2840",0,1
"seq2841",0,1
"seq2842",0,1
"seq2843",0,1
"seq2844",0,1
"seq2845",0,1
"seq2846",0,1
"seq2847",0,1
"seq2848",0,1
"seq2849",0,1
"seq285",0,1
"seq2850",0,1
"seq2851",0,1
"seq2852",0,1
"seq2853",0,1
"seq2854",0,1
"seq2855",0,1
"seq2856",0,1
"seq2857",0,1
"seq2858",0,1
"seq2859",0,1
"seq286",0,1
"seq2860",0,1
"seq2861",0,1
"seq2862",0,1
"seq2863",0,1
"seq2864",0,1
"seq2865",0,1
"seq2866",0,1
"seq2867",0,1
"seq2868",0,1
"seq2869",0,1
"seq287",0,2
"seq2870",0,1
"seq2871",0,1
"seq2872",0,1
"seq2873",0,1
"seq2874",0,1
"seq2875",0,1
"seq2876",0,1
"seq2877",0,1
"seq2878",0,1
"seq2879",0,1
"seq288",0,2
"seq2880",0,1
"seq2881",0,1
"seq2882",0,1
"seq2883",0,1
"seq2884",0,1
"seq2885",0,1
"seq2886",0,1
"seq2887",0,1
"seq2888",0,1
"seq2889",0,1
"seq289",0,1
"seq2890",0,1
"seq2891",0,1
"seq2892",0,1
"seq2893",0,1
"seq2894",0,1
"seq2895",0,1
"seq2896",0,1
"seq2897",0,1
"seq2898",0,1
"seq2899",0,1
"seq29",1,0
"seq290",0,1
"seq2900",0,1
"seq2901",0,1
"seq2902",0,1
"seq2903",0,1
"seq2904",0,1
"seq2905",0,1
"seq2906",0,1
"seq2907",0,1
"seq2908",0,1
"seq2909",0,1
"seq291",0,1
"seq2910",0,1
"seq2911",0,1
"seq2912",0,1
"seq2913",0,1
"seq2914",0,1
"seq2915",0,1
"seq2916",0,1
"seq2917",0,1
"seq2918",0,1
"seq2919",0,1
"seq292",0,1
"seq2920",0,1
"seq2921",0,1
"seq2922",0,1
"seq2923",0,1
"seq2924",0,1
"seq2925",0,2
"seq2926",0,4
"seq2927",0,1
"seq2928",0,1
"seq2929",0,1
"seq293",0,1
"seq2930",0,1
"seq2931",0,1
"seq2932",0,1
"seq2933",0,1
"seq2934",0,1
"seq2935",0,1
"seq2936",0,1
"seq2937",0,1
"seq2938",0,1
"seq2939",0,1
"seq294",0,1
"seq2940",0,1
"seq2941",0,1
"seq2942",0,1
"seq2943",0,1
"seq2944",0,2
"seq2945",0,2
"seq2946",0,1
"seq2947",0,1
"seq2948",0,1
"seq2949",0,1
"seq295",0,1
"seq2950",0,1
"seq2951",0,1
"seq2952",0,1
"seq2953",0,1
"seq2954",0,1
"seq2955",0,1
"seq2956",0,1
"seq2957",0,1
"seq2958",0,1
"seq2959",0,1
"seq296",0,1
"seq2960",0,1
"seq2961",0,1
"seq2962",0,1
"seq2963",0,1
"seq2964",0,1
"seq2965",0,1
"seq2966",0,1
"seq2967",0,1
"seq2968",0,1
"seq2969",0,1
"seq297",0,1
"seq2970",0,1
"seq2971",0,1
"seq2972",0,1
"seq2973",0,1
"seq2974",0,1
"seq2975",0,1
"seq2976",0,1
"seq2977",0,1
"seq2978",0,1
"seq2979",0,1
"seq298",0,1
"seq2980",0,1
"seq2981",0,1
"seq2982",0,1
"seq2983",0,1
"seq2984",0,1
"seq2985",0,1
"seq2986",0,1
"seq2987",0,1
"seq2988",0,1
"seq2989",0,1
"seq299",0,1
"seq2990",0,1
"seq2991",0,1
"seq2992",0,1
"seq2993",0,1
"seq2994",0,1
"seq2995",0,1
"seq2996",0,1
"seq2997",0,1
"seq2998",0,1
"seq2999",0,1
"seq3",1,0
"seq30",1,1
"seq300",0,1
"seq3000",0,1
"seq3001",0,1
"seq3002",0,1
"seq3003",0,1
"seq3004",0,3
"seq3005",0,4
"seq3006",0,1
"seq3007",0,1
"seq3008",0,1
"seq3009",0,1
"seq301",0,1
"seq3010",0,1
"seq3011",0,1
"seq3012",0,4
"seq3013",0,1
"seq3014",0,1
"seq3015",0,1
"seq3016",0,1
"seq3017",0,1
"seq3018",0,1
"seq3019",0,1
"seq302",0,1
"seq3020",0,1
"seq3021",0,3
"seq3022",0,1
"seq3023",0,1
"seq3024",0,1
"seq3025",0,1
"seq3026",0,1
"seq3027",0,1
"seq3028",0,1
"seq3029",0,1
"seq303",0,1
"seq3030",0,4
"seq3031",0,3
"seq3032",0,1
"seq3033",0,1
"seq3034",0,1
"seq3035",0,1
"seq3036",0,1
"seq3037",0,1
"seq3038",0,1
"seq3039",0,1
"seq304",0,1
"seq3040",0,3
"seq3041",0,1
"seq3042",0,1
"seq3043",0,1
"seq3044",0,1
"seq3045",0,1
"seq3046",0,1
"seq3047",0,1
"seq3048",0,1
"seq3049",0,1
"seq305",0,1
"seq3050",0,2
"seq3051",0,1
"seq3052",0,1
"seq3053",0,1
"seq3054",0,1
"seq3055",0,1
"seq3056",0,1
"seq3057",0,1
"seq3058",0,3
"seq3059",0,3
"seq306",0,2
"seq3060",0,1
"seq3061",0,6
"seq3062",0,1
"seq3063",0,1
"seq3064",0,1
"seq3065",0,1
"seq3066",0,2
"seq3067",0,1
"seq3068",0,1
"seq3069",0,2
"seq307",0,1
"seq3070",0,31
"seq3071",0,1
"seq3072",0,1
"seq3073",0,1
"seq3074",0,1
"seq3075",0,6
"seq3076",0,2
"seq3077",0,6
"seq3078",0,1
"seq3079",0,2
"seq308",0,1
"seq3080",0,6
"seq3081",0,1
"seq3082",0,1
"seq3083",0,13
"seq3084",0,1
"seq3085",0,1
"seq3086",0,1
"seq3087",0,1
"seq3088",0,3
"seq3089",0,1
"seq309",0,1
"seq3090",0,1
"seq3091",0,1
"seq3092",0,1
"seq3093",0,1
"seq3094",0,1
"seq3095",0,1
"seq3096",0,1
"seq3097",0,1
"seq3098",0,1
"seq3099",0,2
"seq31",1,1
"seq310",0,1
"seq3100",0,1
"seq3101",0,1
"seq3102",0,1
"seq3103",0,1
"seq3104",0,1
"seq3105",0,1
"seq3106",0,1
"seq3107",0,1
"seq3108",0,3
"seq3109",0,2
"seq311",0,1
"seq3110",0,1
"seq3111",0,1
"seq3112",0,1
"seq3113",0,1
"seq3114",0,1
"seq3115",0,1
"seq3116",0,7
"seq3117",0,4
"seq3118",0,1
"seq3119",0,4
"seq312",0,1
"seq3120",0,1
"seq3121",0,9
"seq3122",0,1
"seq3123",0,1
"seq3124",0,1
"seq3125",0,1
"seq3126",0,1
"seq3127",0,1
"seq3128",0,1
"seq3129",0,1
"seq313",0,1
"seq3130",0,4
"seq3131",0,1
"seq3132",0,2
"seq3133",0,1
"seq3134",0,1
"seq3135",0,2
"seq3136",0,1
"seq3137",0,1
"seq3138",0,1
"seq3139",0,1
"seq314",0,1
"seq3140",0,1
"seq3141",0,1
"seq3142",0,1
"seq3143",0,1
"seq3144",0,1
"seq3145",0,1
"seq3146",0,2
"seq3147",0,1
"seq3148",0,4
"seq3149",0,1
"seq315",0,1
"seq3150",0,1
"seq3151",0,1
"seq3152",0,1
"seq3153",0,1
"seq3154",0,1
"seq3155",0,1
"seq3156",0,1
"seq3157",0,1
"seq3158",0,1
"seq3159",0,1
"seq316",0,1
"seq3160",0,1
"seq3161",0,2
"seq3162",0,1
"seq3163",0,1
"seq3164",0,1
"seq3165",0,1
"seq3166",0,1
"seq3167",0,1
"seq3168",0,2
"seq3169",0,2
"seq317",0,1
"seq3170",0,3
"seq3171",0,1
"seq3172",0,1
"seq3173",0,1
"seq3174",0,1
"seq3175",0,1
"seq3176",0,1
"seq3177",0,1
"seq3178",0,1
"seq3179",0,1
"seq318",0,1
"seq3180",0,1
"seq3181",0,1
"seq3182",0,1
"seq3183",0,1
"seq3184",0,1
"seq3185",0,1
"seq3186",0,1
"seq3187",0,1
"seq3188",0,1
"seq3189",0,1
"seq319",0,1
"seq3190",0,1
"seq3191",0,1
"seq3192",0,1
"seq3193",0,1
"seq3194",0,1
"seq3195",0,1
"seq3196",0,1
"seq3197",0,1
"seq3198",0,1
"seq3199",0,1
"seq32",1,0
"seq320",0,1
"seq3200",0,1
"seq3201",0,1
"seq3202",0,1
"seq3203",0,1
"seq3204",0,1
"seq3205",0,1
"seq3206",0,2
"seq3207",0,1
"seq3208",0,1
"seq3209",0,1
"seq321",0,1
"seq3210",0,1
"seq3211",0,1
"seq3212",0,1
"seq3213",0,1
"seq3214",0,1
"seq3215",0,1
"seq3216",0,1
"seq3217",0,1
"seq3218",0,1
"seq3219",0,1
"seq322",0,1
"seq3220",0,1
"seq3221",0,1
"seq3222",0,1
"seq3223",0,1
"seq3224",0,1
"seq3225",0,1
"seq3226",0,1
"seq3227",0,1
"seq3228",0,1
"seq3229",0,1
"seq323",0,1
"seq3230",0,16
"seq3231",0,1
"seq3232",0,2
"seq3233",0,1
"seq3234",0,4
"seq3235",0,2
"seq3236",0,1
"seq3237",0,4
"seq3238",0,1
"seq3239",0,1
"seq324",0,1
"seq3240",0,64
"seq3241",0,1
"seq3242",0,1
"seq3243",0,17
"seq3244",0,9
"seq3245",0,1
"seq3246",0,1
"seq3247",0,2
"seq3248",0,1
"seq3249",0,1
"seq325",0,1
"seq3250",0,1
"seq3251",0,6
"seq3252",0,1
"seq3253",0,2
"seq3254",0,110
"seq3255",0,1
"seq3256",0,1
"seq3257",0,7
"seq3258",0,1
"seq3259",0,2
"seq326",0,1
"seq3260",0,3
"seq3261",0,2
"seq3262",0,1
"seq3263",0,1
"seq3264",0,1
"seq3265",0,1
"seq3266",0,1
"seq3267",0,1
"seq3268",0,1
"seq3269",0,1
"seq327",0,1
"seq3270",0,6
"seq3271",0,15
"seq3272",0,1
"seq3273",0,3
"seq3274",0,2
"seq3275",0,6
"seq3276",0,2
"seq3277",0,1
"seq3278",0,3
"seq3279",0,1
"seq328",0,1
"seq3280",0,1
"seq3281",0,1
"seq3282",0,1
"seq3283",0,1
"seq3284",0,1
"seq3285",0,1
"seq3286",0,1
"seq3287",0,6
"seq3288",0,2
"seq3289",0,2
"seq329",0,1
"seq3290",0,1
"seq3291",0,2
"seq3292",0,1
"seq3293",0,1
"seq3294",0,3
"seq3295",0,5
"seq3296",0,1
"seq3297",0,1
"seq3298",0,1
"seq3299",0,1
"seq33",1,0
"seq330",0,1
"seq3300",0,1
"seq3301",0,1
"seq3302",0,1
"seq3303",0,1
"seq3304",0,5
"seq3305",0,11
"seq3306",0,2
"seq3307",0,1
"seq3308",0,1
"seq3309",0,1
"seq331",0,1
"seq3310",0,1
"seq3311",0,1
"seq3312",0,1
"seq3313",0,1
"seq3314",0,1
"seq3315",0,1
"seq3316",0,1
"seq3317",0,1
"seq3318",0,1
"seq3319",0,4
"seq332",0,1
"seq3320",0,1
"seq3321",0,2
"seq3322",0,1
"seq3323",0,1
"seq3324",0,1
"seq3325",0,1
"seq3326",0,1
"seq3327",0,1
"seq3328",0,1
"seq3329",0,1
"seq333",0,1
"seq3330",0,1
"seq3331",0,1
"seq3332",0,1
"seq3333",0,1
"seq3334",0,2
"seq3335",0,1
"seq3336",0,1
"seq3337",0,1
"seq3338",0,9
"seq3339",0,1
"seq334",0,3
"seq3340",0,1
"seq3341",0,1
"seq3342",0,1
"seq3343",0,1
"seq3344",0,2
"seq3345",0,3
"seq3346",0,1
"seq3347",0,1
"seq3348",0,1
"seq3349",0,5
"seq335",0,1
"seq3350",0,1
"seq3351",0,4
"seq3352",0,1
"seq3353",0,2
"seq3354",0,2
"seq3355",0,1
"seq3356",0,2
"seq3357",0,3
"seq3358",0,1
"seq3359",0,1
"seq336",0,1
"seq3360",0,1
"seq3361",0,2
"seq3362",0,1
"seq3363",0,2
"seq3364",0,2
"seq3365",0,1
"seq3366",0,1
"seq3367",0,1
"seq3368",0,2
"seq3369",0,3
"seq337",0,1
"seq3370",0,1
"seq3371",0,1
"seq3372",0,1
"seq3373",0,1
"seq3374",0,1
"seq3375",0,1
"seq3376",0,2
"seq3377",0,4
"seq3378",0,1
"seq3379",0,3
"seq338",0,1
"seq3380",0,1
"seq3381",0,1
"seq3382",0,1
"seq3383",0,1
"seq3384",0,2
"seq3385",0,1
"seq3386",0,1
"seq3387",0,1
"seq3388",0,1
"seq3389",0,2
"seq339",0,1
"seq3390",0,1
"seq3391",0,1
"seq3392",0,1
"seq3393",0,1
"seq3394",0,1
"seq3395",0,4
"seq3396",0,1
"seq3397",0,1
"seq3398",0,1
"seq3399",0,3
"seq34",1,1
"seq340",0,1
"seq3400",0,1
"seq3401",0,1
"seq3402",0,1
"seq3403",0,1
"seq3404",0,1
"seq3405",0,1
"seq3406",0,2
"seq3407",0,1
"seq3408",0,1
"seq3409",0,1
"seq341",0,1
"seq3410",0,5
"seq3411",0,1
"seq3412",0,1
"seq3413",0,3
"seq3414",0,2
"seq3415",0,1
"seq3416",0,10
"seq3417",0,1
"seq3418",0,2
"seq3419",0,3
"seq342",0,1
"seq3420",0,1
"seq3421",0,1
"seq3422",0,1
"seq3423",0,1
"seq3424",0,1
"seq3425",0,1
"seq3426",0,2
"seq3427",0,2
"seq3428",0,6
"seq3429",0,1
"seq343",0,1
"seq3430",0,1
"seq3431",0,1
"seq3432",0,1
"seq3433",0,1
"seq3434",0,1
"seq3435",0,1
"seq3436",0,2
"seq3437",0,1
"seq3438",0,1
"seq3439",0,1
"seq344",0,1
"seq3440",0,1
"seq3441",0,1
"seq3442",0,1
"seq3443",0,1
"seq3444",0,1
"seq3445",0,1
"seq3446",0,1
"seq3447",0,1
"seq3448",0,1
"seq3449",0,1
"seq345",0,2
"seq3450",0,1
"seq3451",0,2
"seq3452",0,1
"seq3453",0,1
"seq3454",0,2
"seq3455",0,1
"seq3456",0,1
"seq3457",0,1
"seq3458",0,1
"seq3459",0,1
"seq346",0,1
"seq3460",0,1
"seq3461",0,1
"seq3462",0,3
"seq3463",0,1
"seq3464",0,1
"seq3465",0,1
"seq3466",0,5
"seq3467",0,3
"seq3468",0,1
"seq3469",0,1
"seq347",0,1
"seq3470",0,2
"seq3471",0,1
"seq3472",0,1
"seq3473",0,1
"seq3474",0,1
"seq3475",0,1
"seq3476",0,1
"seq3477",0,2
"seq3478",0,1
"seq3479",0,1
"seq348",0,1
"seq3480",0,1
"seq3481",0,3
"seq3482",0,1
"seq3483",0,1
"seq3484",0,1
"seq3485",0,1
"seq3486",0,1
"seq3487",0,2
"seq3488",0,1
"seq3489",0,2
"seq349",0,1
"seq3490",0,1
"seq3491",0,1
"seq3492",0,1
"seq3493",0,1
"seq3494",0,2
"seq3495",0,1
"seq3496",0,1
"seq3497",0,1
"seq3498",0,2
"seq3499",0,1
"seq35",1,13
"seq350",0,1
"seq3500",0,2
"seq3501",0,1
"seq3502",0,1
"seq3503",0,1
"seq3504",0,1
"seq3505",0,2
"seq3506",0,1
"seq3507",0,3
"seq3508",0,1
"seq3509",0,1
"seq351",0,1
"seq3510",0,1
"seq3511",0,2
"seq3512",0,1
"seq3513",0,1
"seq3514",0,1
"seq3515",0,1
"seq3516",0,1
"seq3517",0,1
"seq3518",0,1
"seq3519",0,1
"seq352",0,2
"seq3520",0,1
"seq3521",0,1
"seq3522",0,1
"seq3523",0,2
"seq3524",0,1
"seq3525",0,1
"seq3526",0,1
"seq3527",0,1
"seq3528",0,1
"seq3529",0,1
"seq353",0,1
"seq3530",0,1
"seq3531",0,1
"seq3532",0,1
"seq3533",0,1
"seq3534",0,1
