"seq_unique","IGHA1","IGHG3"
"seq1",4,0
"seq10",8,0
"seq11",3,0
"seq12",8,0
"seq13",1,0
"seq14",3,0
"seq15",1,0
"seq16",1,0
"seq17",1,0
"seq18",1,0
"seq19",1,0
"seq2",2,0
"seq20",1,0
"seq21",1,0
"seq22",1,0
"seq23",1,0
"seq24",1,0
"seq25",4,0
"seq26",1,0
"seq27",1,0
"seq28",1,0
"seq29",1,0
"seq3",4,0
"seq30",1,0
"seq31",3,0
"seq32",1,0
"seq4",0,1
"seq5",1,0
"seq6",55,0
"seq7",5,0
"seq8",3,0
"seq9",2,0
