"seq_unique","HH119-COLP","HH119-SILP"
"seq1",5,0
"seq10",4,0
"seq11",1,0
"seq12",5,0
"seq13",1,0
"seq14",1,0
"seq15",1,0
"seq16",3,0
"seq17",1,0
"seq18",1,0
"seq2",1,1
"seq3",3,0
"seq4",2,0
"seq5",5,0
"seq6",3,0
"seq7",1,0
"seq8",2,0
"seq9",1,0
