"seq_unique","PCs","Memory_Bcells"
"seq1",1,0
"seq10",2,0
"seq11",1,0
"seq12",1,0
"seq13",4,0
"seq14",2,0
"seq15",3,0
"seq16",1,0
"seq17",2,0
"seq18",1,0
"seq19",1,0
"seq2",5,1
"seq20",1,0
"seq21",1,0
"seq22",1,0
"seq23",3,0
"seq24",1,0
"seq3",0,1
"seq4",3,0
"seq5",1,0
"seq6",1,0
"seq7",5,0
"seq8",1,0
"seq9",1,0
