"seq_unique","HH119-SI-MILF","HH119-SILP"
"seq1",1,7
"seq10",0,2
"seq11",0,1
"seq12",0,1
"seq13",0,1
"seq14",0,1
"seq15",0,1
"seq16",0,1
"seq2",0,34
"seq3",0,1
"seq4",0,12
"seq5",0,2
"seq6",0,9
"seq7",0,1
"seq8",0,2
"seq9",0,1
