"seq_unique","PCs"
"seq1",1
"seq10",3
"seq11",1
"seq12",1
"seq13",1
"seq14",1
"seq15",1
"seq16",2
"seq17",1
"seq18",2
"seq19",1
"seq2",1
"seq20",1
"seq21",1
"seq3",16
"seq4",1
"seq5",1
"seq6",6
"seq7",1
"seq8",3
"seq9",2
