"seq_unique","PCs","Memory_Bcells"
"seq1",14,0
"seq10",1,0
"seq11",8,0
"seq12",3,0
"seq13",5,0
"seq14",1,0
"seq15",1,0
"seq16",1,0
"seq2",2,0
"seq3",4,1
"seq4",4,0
"seq5",1,0
"seq6",12,0
"seq7",2,0
"seq8",3,0
"seq9",4,0
