"seq_unique","PCs","Memory_Bcells"
"seq1",26,0
"seq2",52,1
"seq3",1,0
"seq4",2,0
"seq5",1,0
"seq6",1,0
"seq7",1,0
"seq8",1,0
"seq9",2,0
