seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_2:sequence_14:sequence_17:sequence_30,PCs,IGHA2,HH119-COLP,1,2,1
seq10,sequence_16:sequence_21:sequence_33:sequence_42,PCs,IGHA2,HH119-COLP,1,2,1
seq11,sequence_19,PCs,IGHA2,HH119-COLP,1,2,1
seq12,sequence_23:sequence_24:sequence_25:sequence_28:sequence_34,PCs,IGHA2,HH119-COLP,1,2,1
seq13,sequence_29,PCs,IGHA2,HH119-COLP,1,2,1
seq14,sequence_32,PCs,IGHA2,HH119-COLP,1,2,1
seq15,sequence_35,PCs,IGHA2,HH119-COLP,1,2,1
seq16,sequence_36:sequence_39:sequence_41,PCs,IGHA1:IGHA2,HH119-COLP,1,1,1
seq17,sequence_37,PCs,IGHA2,HH119-COLP,1,2,1
seq18,sequence_38,PCs,IGHA2,HH119-COLP,1,2,1
seq2,sequence_3:sequence_22,PCs,IGHA2,HH119-COLP:HH119-SILP,1,2,2
seq3,sequence_4:sequence_6:sequence_31,PCs,IGHA2,HH119-COLP,1,2,1
seq4,sequence_5:sequence_18,PCs,IGHA2,HH119-COLP,1,2,1
seq5,sequence_7:sequence_8:sequence_11:sequence_20:sequence_27,PCs,IGHA2:IGHA1,HH119-COLP,1,3,1
seq6,sequence_9:sequence_12:sequence_40,PCs,IGHA2,HH119-COLP,1,2,1
seq7,sequence_10,PCs,IGHA2,HH119-COLP,1,2,1
seq8,sequence_13:sequence_26,PCs,IGHA2,HH119-COLP,1,2,1
seq9,sequence_15,PCs,IGHA2,HH119-COLP,1,2,1
