"seq_unique","PCs"
"seq1",2
"seq10",1
"seq11",1
"seq12",6
"seq13",7
"seq2",9
"seq3",2
"seq4",12
"seq5",1
"seq6",1
"seq7",2
"seq8",1
"seq9",1
