"seq_unique","HH117-SI-MILF-INF","HH117-SI-MILF-nonINF","HH117-SILP-INF","HH117-SILP-nonINF"
"seq1",2,1,25,13
"seq10",0,0,1,1
"seq11",0,0,1,0
"seq12",0,0,0,3
"seq13",0,0,0,6
"seq14",0,0,0,1
"seq15",0,0,0,1
"seq16",0,0,1,0
"seq17",0,0,0,1
"seq18",0,0,0,5
"seq19",0,0,1,1
"seq2",1,0,0,5
"seq3",1,0,0,2
"seq4",0,0,3,0
"seq5",0,0,8,1
"seq6",0,0,2,0
"seq7",0,0,3,1
"seq8",0,0,1,0
"seq9",0,0,0,5
