"seq_unique","IGHA2","IGHA1"
"seq1",5,0
"seq10",4,0
"seq11",1,0
"seq12",5,0
"seq13",1,0
"seq14",1,0
"seq15",1,0
"seq16",2,1
"seq17",1,0
"seq18",1,0
"seq2",2,0
"seq3",3,0
"seq4",2,0
"seq5",4,1
"seq6",3,0
"seq7",1,0
"seq8",2,0
"seq9",1,0
