seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,PCs,IGHA2,HH117-SI-MILF-nonINF,3,2,5
seq10,sequence_11,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq11,sequence_13,PCs,IGHA2,HH117-SILP-nonINF,3,2,3
seq12,sequence_14:sequence_39,PCs,IGHG2,HH117-SILP-nonINF:HH117-SILP-INF,3,4,4
seq13,sequence_16,PCs,IGHA1,HH117-SILP-INF,3,1,1
seq14,sequence_19,PCs,IGHG2,HH117-SILP-INF,3,4,1
seq15,sequence_21:sequence_24:sequence_28:sequence_36,PCs,IGHA2:IGHA1,HH117-SILP-INF,3,3,1
seq16,sequence_22:sequence_33,PCs,IGHG2,HH117-SILP-INF,3,4,1
seq17,sequence_23:sequence_31:sequence_38,PCs,IGHG2:IGHA2,HH117-SILP-INF,3,5,1
seq18,sequence_26,PCs,IGHG2,HH117-SILP-INF,3,4,1
seq19,sequence_27:sequence_29:sequence_45,PCs,IGHA2,HH117-SILP-INF:HH117-SILP-nonINF,3,2,2
seq2,sequence_2:sequence_7:sequence_20:sequence_40:sequence_41:sequence_42,Memory_Bcells:PCs,NA:IGHA2:IGHA1:IGHG2,HH117-SI-MILF-nonINF:HH117-SILP-INF:HH117-SILP-nonINF,2,6,6
seq20,sequence_30:sequence_32,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq21,sequence_34,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq22,sequence_35,PCs,IGHG2,HH117-SILP-INF,3,4,1
seq23,sequence_37,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq24,sequence_44,PCs,IGHG2,HH117-SILP-nonINF,3,4,3
seq3,sequence_3,Memory_Bcells,IGHA2,HH117-SI-MILF-nonINF,1,2,5
seq4,sequence_4:sequence_18:sequence_43,PCs,IGHA2:IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,3,3,2
seq5,sequence_5,PCs,IGHA2,HH117-SILP-INF,3,2,1
seq6,sequence_6,PCs,IGHG2,HH117-SILP-INF,3,4,1
seq7,sequence_8,PCs,IGHG2,HH117-SILP-INF,3,4,1
seq8,sequence_9:sequence_12:sequence_15:sequence_17:sequence_25,PCs,IGHA2,HH117-SILP-INF:HH117-SILP-nonINF,3,2,2
seq9,sequence_10,PCs,IGHG2,HH117-SILP-INF,3,4,1
