"seq_unique","PCs"
"seq1",7
"seq10",3
"seq11",1
"seq12",1
"seq13",1
"seq14",1
"seq2",1
"seq3",1
"seq4",1
"seq5",25
"seq6",1
"seq7",7
"seq8",1
"seq9",2
