"seq_unique","PCs"
"seq1",1
"seq10",2
"seq11",1
"seq12",1
"seq13",1
"seq14",1
"seq15",1
"seq16",4
"seq17",2
"seq18",1
"seq19",1
"seq2",15
"seq20",3
"seq21",2
"seq22",2
"seq23",1
"seq24",1
"seq3",2
"seq4",3
"seq5",1
"seq6",1
"seq7",1
"seq8",9
"seq9",4
