"seq_unique","PCs"
"seq1",4
"seq10",3
"seq11",1
"seq12",1
"seq13",1
"seq14",1
"seq15",1
"seq16",1
"seq17",1
"seq18",1
"seq19",1
"seq2",4
"seq20",1
"seq21",1
"seq22",1
"seq23",2
"seq24",4
"seq25",1
"seq26",1
"seq27",1
"seq28",3
"seq29",1
"seq3",55
"seq30",1
"seq31",1
"seq32",1
"seq4",5
"seq5",3
"seq6",2
"seq7",8
"seq8",3
"seq9",8
