seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_9:sequence_11:sequence_19:sequence_27:sequence_28:sequence_31:sequence_32:sequence_33:sequence_37:sequence_44:sequence_48:sequence_49:sequence_50:sequence_63:sequence_68:sequence_70:sequence_73:sequence_74:sequence_75:sequence_76:sequence_78:sequence_84:sequence_87:sequence_89:sequence_91:sequence_92:sequence_99:sequence_101:sequence_103:sequence_108:sequence_109:sequence_110:sequence_111:sequence_114:sequence_119:sequence_124:sequence_128:sequence_131:sequence_137:sequence_144:sequence_146:sequence_148:sequence_153:sequence_160:sequence_162:sequence_167:sequence_169:sequence_170,PCs,IGHA1,HH117-SI-MILF-INF:HH117-SI-PP-nonINF_Fol-7:HH117-SILP-INF:HH117-SILP-nonINF,2,1,6
seq10,sequence_17:sequence_18:sequence_45:sequence_120:sequence_134,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq11,sequence_20,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq12,sequence_21:sequence_100,PCs,IGHA2:IGHA1,HH117-SILP-INF,2,5,1
seq13,sequence_22,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq14,sequence_23:sequence_54:sequence_95:sequence_154,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq15,sequence_36:sequence_55:sequence_85:sequence_126,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq16,sequence_38,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq17,sequence_42:sequence_98,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq18,sequence_43:sequence_59,PCs,IGHA2:IGHM/D,HH117-SILP-INF:HH117-SILP-nonINF,2,6,2
seq19,sequence_47:sequence_82,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq2,sequence_2:sequence_3:sequence_7:sequence_13:sequence_25:sequence_29:sequence_39:sequence_41:sequence_46:sequence_62:sequence_66:sequence_80:sequence_81:sequence_88:sequence_93:sequence_104:sequence_106:sequence_115:sequence_125:sequence_135:sequence_143:sequence_149:sequence_151:sequence_155:sequence_156:sequence_158:sequence_166,PCs,IGHA1:IGHA2,HH117-SI-MILF-INF:HH117-SI-MILF-nonINF:HH117-SILP-INF:HH117-SILP-nonINF,2,2,5
seq20,sequence_58:sequence_79:sequence_116:sequence_123:sequence_168,PCs,IGHA1,HH117-SILP-nonINF:HH117-SILP-INF,2,1,4
seq21,sequence_61:sequence_132,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq22,sequence_77,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq23,sequence_83:sequence_139,PCs,IGHA1:IGHM/D,HH117-SILP-nonINF,2,3,3
seq24,sequence_86,PCs,IGHA2,HH117-SILP-nonINF,2,4,3
seq25,sequence_96,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq26,sequence_97:sequence_164,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq27,sequence_102,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq28,sequence_105:sequence_118,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq29,sequence_117,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq3,sequence_4:sequence_52:sequence_64:sequence_69:sequence_90:sequence_130:sequence_136:sequence_138:sequence_145:sequence_150:sequence_159:sequence_163:sequence_165,PCs,IGHA1,HH117-SI-MILF-nonINF:HH117-SILP-INF:HH117-SILP-nonINF,2,1,8
seq30,sequence_140,PCs,IGHA1,HH117-SILP-nonINF,2,1,3
seq4,sequence_5,Memory_Bcells,IGHA1,HH117-SI-MILF-nonINF,1,1,7
seq5,sequence_6,Memory_Bcells,IGHA1,HH117-SI-MILF-nonINF,1,1,7
seq6,sequence_8:sequence_12:sequence_26:sequence_30:sequence_34:sequence_35:sequence_40:sequence_51:sequence_53:sequence_56:sequence_57:sequence_60:sequence_65:sequence_67:sequence_71:sequence_72:sequence_94:sequence_112:sequence_113:sequence_129:sequence_141:sequence_152,PCs,IGHA1:IGHA2,HH117-SI-PP-nonINF_Fol-5:HH117-SILP-INF:HH117-SILP-nonINF,2,2,9
seq7,sequence_10:sequence_122:sequence_127:sequence_133,PCs,IGHA1,HH117-SILP-INF:HH117-SILP-nonINF,2,1,2
seq8,sequence_14:sequence_107,PCs,IGHA1,HH117-SILP-INF,2,1,1
seq9,sequence_15:sequence_16:sequence_24:sequence_121:sequence_142:sequence_147:sequence_157:sequence_161,PCs,IGHA1:IGHA2,HH117-SILP-INF:HH117-SILP-nonINF,2,2,2
