"seq_unique","IGHA1","NA","IGHA2"
"seq1",3,1,0
"seq10",0,0,1
"seq11",2,0,0
"seq12",2,0,0
"seq13",0,0,1
"seq14",1,0,0
"seq15",1,0,0
"seq16",1,0,0
"seq17",1,0,0
"seq18",1,0,0
"seq19",1,0,0
"seq2",1,0,0
"seq20",1,0,0
"seq21",0,0,1
"seq3",6,1,0
"seq4",2,1,1
"seq5",1,0,0
"seq6",1,0,1
"seq7",1,0,0
"seq8",1,0,0
"seq9",3,0,0
