"seq_unique","IGHA1","IGHA2"
"seq1",13,2
"seq10",1,0
"seq11",2,0
"seq12",4,0
"seq13",1,0
"seq14",0,1
"seq15",1,0
"seq16",1,0
"seq17",0,2
"seq18",0,1
"seq19",1,0
"seq2",0,14
"seq20",1,0
"seq21",1,0
"seq22",1,0
"seq3",1,0
"seq4",10,4
"seq5",32,2
"seq6",1,0
"seq7",4,0
"seq8",1,0
"seq9",0,2
