"seq_unique","IGHA1","IGHA2"
"seq1",39,2
"seq10",2,0
"seq11",1,0
"seq12",3,0
"seq13",6,0
"seq14",1,0
"seq15",1,0
"seq16",1,0
"seq17",1,0
"seq18",5,0
"seq19",2,0
"seq2",6,0
"seq3",3,0
"seq4",3,0
"seq5",9,0
"seq6",2,0
"seq7",4,0
"seq8",1,0
"seq9",4,1
