"seq_unique","HH117-SI-MILF-nonINF","HH117-SILP-INF","HH117-SILP-nonINF"
"seq1",1,0,0
"seq10",0,1,0
"seq11",0,0,1
"seq12",0,1,1
"seq13",0,1,0
"seq14",0,1,0
"seq15",0,4,0
"seq16",0,2,0
"seq17",0,3,0
"seq18",0,1,0
"seq19",0,2,1
"seq2",1,4,1
"seq20",0,2,0
"seq21",0,1,0
"seq22",0,1,0
"seq23",0,1,0
"seq24",0,0,1
"seq3",1,0,0
"seq4",0,2,1
"seq5",0,1,0
"seq6",0,1,0
"seq7",0,1,0
"seq8",0,4,1
"seq9",0,1,0
