seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1:sequence_2:sequence_5:sequence_7:sequence_10:sequence_12:sequence_16:sequence_19:sequence_24:sequence_47:sequence_55,PCs,IGHA1,HH119-COLP:HH119-SI-MILF:HH119-SILP,1,1,1
seq10,sequence_28,PCs,IGHA1,HH119-SILP,1,1,2
seq11,sequence_31,PCs,IGHA1,HH119-SILP,1,1,2
seq12,sequence_40,PCs,IGHA1,HH119-SILP,1,1,2
seq13,sequence_41,PCs,NA,HH119-SILP,1,3,2
seq14,sequence_50,PCs,NA,HH119-SILP,1,3,2
seq2,sequence_3:sequence_18:sequence_30:sequence_32:sequence_36:sequence_38:sequence_48:sequence_54,PCs,IGHA1:NA,HH119-SI-PP_Fol-30:HH119-SILP,1,2,4
seq3,sequence_4:sequence_6:sequence_9:sequence_34:sequence_37:sequence_43:sequence_45:sequence_51:sequence_53,PCs,IGHA1:NA,HH119-SI-PP_Fol-23:HH119-SILP,1,2,3
seq4,sequence_8:sequence_22:sequence_42:sequence_46:sequence_56,PCs,IGHA1:NA,HH119-SILP,1,2,2
seq5,sequence_11:sequence_15:sequence_17:sequence_20:sequence_25:sequence_29:sequence_33:sequence_35:sequence_39:sequence_44:sequence_49:sequence_52,PCs,IGHA1:NA,HH119-SILP,1,2,2
seq6,sequence_13,PCs,NA,HH119-SILP,1,3,2
seq7,sequence_14,PCs,IGHA1,HH119-SILP,1,1,2
seq8,sequence_21:sequence_26,PCs,NA,HH119-SILP,1,3,2
seq9,sequence_23:sequence_27,PCs,IGHA1,HH119-SILP,1,1,2
