"seq_unique","PCs"
"seq1",3
"seq10",1
"seq11",1
"seq12",1
"seq13",1
"seq2",7
"seq3",20
"seq4",1
"seq5",2
"seq6",1
"seq7",1
"seq8",1
"seq9",1
