"seq_unique","HH119-CO-SMILF","HH119-COLP"
"seq1",1,1
"seq10",0,1
"seq11",0,1
"seq12",0,1
"seq13",0,1
"seq2",0,9
"seq3",0,2
"seq4",0,12
"seq5",0,1
"seq6",0,2
"seq7",0,1
"seq8",1,5
"seq9",0,7
