"seq_unique","IGHA1","IGHA2","NA"
"seq1",14,11,1
"seq2",22,28,3
"seq3",0,0,1
"seq4",2,0,0
"seq5",0,1,0
"seq6",0,0,1
"seq7",1,0,0
"seq8",1,0,0
"seq9",1,1,0
