"seq_unique","PCs"
"seq1",5
"seq10",1
"seq11",2
"seq12",2
"seq13",5
"seq14",1
"seq15",1
"seq16",1
"seq17",3
"seq18",3
"seq2",1
"seq3",1
"seq4",2
"seq5",1
"seq6",4
"seq7",1
"seq8",3
"seq9",5
