"seq_unique","IGHA1","IGHA2"
"seq1",4,0
"seq10",4,0
"seq11",1,0
"seq12",1,0
"seq13",1,0
"seq14",2,0
"seq15",1,0
"seq16",1,0
"seq2",4,0
"seq3",4,0
"seq4",10,1
"seq5",4,0
"seq6",5,0
"seq7",1,0
"seq8",1,0
"seq9",1,0
