"seq_unique","PCs"
"seq1",4
"seq10",8
"seq11",3
"seq12",8
"seq13",1
"seq14",3
"seq15",1
"seq16",1
"seq17",1
"seq18",1
"seq19",1
"seq2",2
"seq20",1
"seq21",1
"seq22",1
"seq23",1
"seq24",1
"seq25",4
"seq26",1
"seq27",1
"seq28",1
"seq29",1
"seq3",4
"seq30",1
"seq31",3
"seq32",1
"seq4",1
"seq5",1
"seq6",55
"seq7",5
"seq8",3
"seq9",2
