"seq_unique","PCs","Memory_Bcells"
"seq1",2,0
"seq10",1,0
"seq11",39,1
"seq12",3,0
"seq13",6,0
"seq14",6,0
"seq15",8,0
"seq16",5,0
"seq17",3,0
"seq18",1,0
"seq19",1,0
"seq2",8,0
"seq20",2,0
"seq21",2,0
"seq22",2,0
"seq23",1,0
"seq24",1,0
"seq25",1,0
"seq26",1,0
"seq3",1,0
"seq4",1,0
"seq5",1,0
"seq6",1,0
"seq7",5,0
"seq8",1,0
"seq9",0,1
