"seq_unique","PCs","Memory_Bcells"
"seq1",14,0
"seq10",4,0
"seq11",1,0
"seq12",8,0
"seq13",3,0
"seq14",5,0
"seq15",1,0
"seq16",1,0
"seq17",1,0
"seq18",1,0
"seq19",1,0
"seq2",2,0
"seq20",1,0
"seq3",14,0
"seq4",4,1
"seq5",4,0
"seq6",1,0
"seq7",12,0
"seq8",2,0
"seq9",3,0
