"seq_unique","PCs","Memory_Bcells"
"seq1",15,0
"seq10",1,0
"seq11",2,0
"seq12",4,0
"seq13",1,0
"seq14",1,0
"seq15",1,0
"seq16",1,0
"seq17",2,0
"seq18",1,0
"seq19",1,0
"seq2",12,2
"seq20",1,0
"seq21",1,0
"seq22",1,0
"seq3",1,0
"seq4",14,0
"seq5",34,0
"seq6",1,0
"seq7",4,0
"seq8",1,0
"seq9",2,0
