ancestor_celltype	node_celltype	n_clones	clone_nrs	clones
PCs_SI-PP	GC_B_cells_SI-PP	6	2, 3, 5, 7, 8, 10	11895_1, 15039_1, 27383_1, 8177_1, 8457_1, 8506_1
GC_B_cells_SI-PP	PCs_SI-PP	5	2, 3, 5, 7, 10	11895_1, 15039_1, 27383_1, 8177_1, 8457_1
PCs_SILP	GC_B_cells_SI-PP	4	2, 5, 7, 8	15039_1, 27383_1, 8177_1, 8506_1
PCs_SILP	PCs_SI-PP	3	2, 5, 8	15039_1, 27383_1, 8506_1
PCs_SI-PP	Memory_B_cells_SI-PP	1	3	11895_1
PCs_SILP	Memory_B_cells_SI-MILF	1	5	15039_1
