ancestor_celltype	node_celltype	n_clones	clone_nrs	clones
Memory_B_cells_SI-MILF-nonINF	GC_B_cells_SI-PP-nonINF	3	2, 11, 14	1951_1, 2667_1, 6696_1
PCs_SILP-INF	GC_B_cells_SI-PP-nonINF	3	1, 3, 16	10068_1, 1881_1, 4261_1
PCs_SILP-nonINF	GC_B_cells_SI-PP-nonINF	3	1, 9, 16	10068_1, 2223_1, 4261_1
PCs_SILP-nonINF	PCs_SILP-INF	3	1, 3, 16	10068_1, 1881_1, 4261_1
Memory_B_cells_SI-PP-nonINF	GC_B_cells_SI-PP-nonINF	2	12, 14	5354_1, 6696_1
GC_B_cells_SI-PP-nonINF	GC_B_cells_SI-MILF-nonINF	1	1	4261_1
GC_B_cells_SI-PP-nonINF	Memory_B_cells_SI-MILF-nonINF	1	2	2667_1
GC_B_cells_SI-PP-nonINF	Memory_B_cells_SI-PP-nonINF	1	14	6696_1
GC_B_cells_SI-PP-nonINF	PCs_SILP-INF	1	8	6131_1
PCs_SILP-INF	GC_B_cells_SI-MILF-nonINF	1	1	4261_1
PCs_SILP-INF	Memory_B_cells_SI-MILF-nonINF	1	3	1881_1
PCs_SILP-INF	PCs_SI-PP-nonINF	1	1	4261_1
PCs_SILP-INF	PCs_SILP-nonINF	1	1	4261_1
PCs_SILP-nonINF	GC_B_cells_SI-MILF-nonINF	1	1	4261_1
PCs_SILP-nonINF	PCs_SI-PP-nonINF	1	1	4261_1
