"seq_unique","GC_B_cells","PCs"
"seq1",1,0
"seq10",1,0
"seq11",1,0
"seq2",2,0
"seq3",1,0
"seq4",1,0
"seq5",17,2
"seq6",1,0
"seq7",3,2
"seq8",1,0
"seq9",1,0
