"seq_unique","IGHG1","IGHA1"
"seq1",1,0
"seq10",0,1
"seq11",0,1
"seq12",0,1
"seq13",0,1
"seq14",0,1
"seq15",0,1
"seq16",0,1
"seq17",0,2
"seq18",0,1
"seq2",2,0
"seq3",1,0
"seq4",1,0
"seq5",1,0
"seq6",0,1
"seq7",0,1
"seq8",0,1
"seq9",0,1
