"seq_unique","IGHM/D"
"seq1",1
"seq10",1
"seq11",1
"seq12",1
"seq13",1
"seq14",1
"seq2",1
"seq3",2
"seq4",1
"seq5",2
"seq6",1
"seq7",1
"seq8",2
"seq9",1
