"seq_unique","HH153-SI-PP-nonINF_Fol-7","HH153-SI-PP-nonINF_Fol-1","HH153-SI-PP-nonINF_Fol-3","HH153-SI-PP-nonINF_Fol-5","HH153-SI-PP-nonINF_Fol-8"
"seq1",1,0,0,0,0
"seq10",0,1,0,0,0
"seq11",0,0,1,0,0
"seq12",0,0,0,1,0
"seq13",0,0,1,0,0
"seq14",0,0,1,0,0
"seq2",0,7,0,0,0
"seq3",0,0,0,0,1
"seq4",0,0,1,0,0
"seq5",0,0,1,0,0
"seq6",0,0,1,0,0
"seq7",0,0,1,0,0
"seq8",0,0,1,0,0
"seq9",0,0,1,0,0
