"seq_unique","HH117-SI-PP-nonINF_Fol-13","HH117-SI-PP-nonINF_Fol-6","HH117-SI-PP-nonINF_Fol-7","HH117-SI-PP-nonINF_Fol-8"
"seq1",1,7,3,1
"seq2",0,1,0,0
"seq3",0,1,0,0
