"seq_unique","HH153-SI-PP-nonINF_Fol-3","HH153-SI-PP-nonINF_Fol-11","HH153-SI-PP-nonINF_Fol-16"
"seq1",1,0,0
"seq10",0,1,0
"seq11",0,1,0
"seq12",0,1,0
"seq13",0,0,1
"seq14",0,1,0
"seq15",0,0,1
"seq16",0,1,0
"seq17",0,0,2
"seq18",0,1,0
"seq2",2,0,0
"seq3",1,0,0
"seq4",1,0,0
"seq5",1,0,0
"seq6",0,0,1
"seq7",0,0,1
"seq8",0,0,1
"seq9",0,0,1
