"seq_unique","IGHA1","IGHA2"
"seq1",1,0
"seq10",1,0
"seq11",1,0
"seq12",1,0
"seq13",0,1
"seq14",1,0
"seq15",1,0
"seq16",1,0
"seq2",1,0
"seq3",1,0
"seq4",1,0
"seq5",1,0
"seq6",0,1
"seq7",1,0
"seq8",2,0
"seq9",1,0
