"seq_unique","HH151-SI-PP-nonINF_Fol-17","HH151-SI-PP-nonINF_Fol-18","HH151-SI-PP-nonINF_Fol-16"
"seq1",1,0,0
"seq10",0,1,0
"seq11",1,0,0
"seq12",1,0,0
"seq13",1,0,0
"seq14",1,0,0
"seq15",1,0,0
"seq2",3,0,0
"seq3",1,0,0
"seq4",3,0,0
"seq5",1,0,0
"seq6",1,0,0
"seq7",2,0,0
"seq8",0,0,1
"seq9",1,0,0
