seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-5,1,1,5
seq10,sequence_11,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-4,1,1,4
seq11,sequence_12:sequence_13:sequence_14:sequence_15,GC_B_cells,IGHG1,HH153-SI-PP-nonINF_Fol-17,1,2,2
seq12,sequence_16,GC_B_cells,IGHG1,HH153-SI-PP-nonINF_Fol-17,1,2,2
seq13,sequence_17,GC_B_cells,IGHG1,HH153-SI-PP-nonINF_Fol-17,1,2,2
seq2,sequence_2,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-5,1,1,5
seq3,sequence_3,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-5,1,1,5
seq4,sequence_4,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-5,1,1,5
seq5,sequence_5:sequence_6,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-1:HH153-SI-PP-nonINF_Fol-5,1,1,3
seq6,sequence_7,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-5,1,1,5
seq7,sequence_8,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-1,1,1,1
seq8,sequence_9,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-5,1,1,5
seq9,sequence_10,GC_B_cells,IGHA1,HH153-SI-PP-nonINF_Fol-5,1,1,5
