"seq_unique","HH151-SI-PP-nonINF_Fol-14","HH151-SI-PP-nonINF_Fol-15","HH151-SI-PP-nonINF_Fol-11","HH151-SI-PP-nonINF_Fol-13"
"seq1",1,0,0,0
"seq2",0,2,0,0
"seq3",0,0,2,0
"seq4",0,1,0,0
"seq5",0,0,0,1
"seq6",0,1,0,0
