"seq_unique","IGHG1","IGHA1","IGHE","IGHG2","IGHG3","IGHM","NA","IGHG4","IGHA2","IGHD"
"seq1107",2,0,0,0,0,0,0,0,0,0
"seq1108",1,0,0,0,0,0,0,0,0,0
"seq1109",3,0,0,0,0,0,0,0,0,0
"seq111",3,0,0,0,0,0,0,0,0,0
"seq1110",23,0,0,0,0,0,0,0,0,0
"seq1111",5,0,0,0,0,0,0,0,0,0
"seq1112",6,0,0,0,0,0,0,0,0,0
"seq1113",2,0,0,0,0,0,0,0,0,0
"seq1114",1,0,0,0,0,0,0,0,0,0
"seq1115",1,0,0,0,0,0,0,0,0,0
"seq1116",1,0,0,0,0,0,0,0,0,0
"seq1117",1,0,0,0,0,0,0,0,0,0
"seq1118",1,0,0,0,0,0,0,0,0,0
"seq1119",1,0,0,0,0,0,0,0,0,0
"seq112",1,0,0,0,0,0,0,0,0,0
"seq1120",1,0,0,0,0,0,0,0,0,0
"seq1121",1,0,0,0,0,0,0,0,0,0
"seq1122",3,0,0,0,0,0,0,0,0,0
"seq1123",1,0,0,0,0,0,0,0,0,0
"seq1124",1,0,0,0,0,0,0,0,0,0
"seq1125",1,0,0,0,0,0,0,0,0,0
"seq1126",1,0,0,0,0,0,0,0,0,0
"seq1127",1,0,0,0,0,0,0,0,0,0
"seq1128",1,0,0,0,0,0,0,0,0,0
"seq1129",1,0,0,0,0,0,0,0,0,0
"seq113",1,0,0,0,0,0,0,0,0,0
"seq1130",1,0,0,0,0,0,0,0,0,0
"seq1131",2,0,0,0,0,0,0,0,0,0
"seq1132",4,0,0,0,0,0,0,0,0,0
"seq1133",1,0,0,0,0,0,0,0,0,0
"seq1134",3,0,0,0,0,0,3,0,0,0
"seq1135",1,0,0,0,0,0,0,0,0,0
"seq1136",1,0,0,0,0,0,0,0,0,0
"seq1137",15,0,0,0,0,0,2,0,0,0
"seq1138",8,0,0,0,0,0,1,0,0,0
"seq1139",1,0,0,0,0,0,0,0,0,0
"seq114",4,0,0,0,0,0,0,0,0,0
"seq1140",6,0,0,0,0,0,0,0,0,0
"seq1141",1,0,0,0,0,0,0,0,0,0
"seq1142",2,0,0,0,0,0,0,0,0,0
"seq1143",1,0,0,0,0,0,0,0,0,0
