seq_unique,seq_name,L1_annotation,c_call_grouped,sample_clean_fol,L1_annotation_int,c_call_grouped_int,sample_clean_fol_int
seq1,sequence_1,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-7,1,1,4
seq10,sequence_13,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-1,1,1,1
seq11,sequence_14,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq12,sequence_16,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-5,1,1,3
seq13,sequence_18,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq14,sequence_19,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq2,sequence_2:sequence_5:sequence_10:sequence_11:sequence_15:sequence_17:sequence_20,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-1,1,1,1
seq3,sequence_3,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-8,1,1,5
seq4,sequence_4,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq5,sequence_6,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq6,sequence_7,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq7,sequence_8,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq8,sequence_9,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
seq9,sequence_12,GC_B_cells,IGHM/D,HH153-SI-PP-nonINF_Fol-3,1,1,2
