"seq_unique","IGHM/D"
"seq1",15
"seq10",1
"seq11",1
"seq12",1
"seq13",1
"seq14",2
"seq15",1
"seq16",1
"seq17",1
"seq18",1
"seq2",2
"seq3",1
"seq4",1
"seq5",1
"seq6",1
"seq7",1
"seq8",1
"seq9",1
