"seq_unique","PCs","GC_B_cells"
"seq1",8,11
"seq10",0,1
"seq11",0,1
"seq12",0,1
"seq13",0,1
"seq14",0,1
"seq15",0,1
"seq16",0,1
"seq17",0,1
"seq18",0,1
"seq2",0,3
"seq3",0,2
"seq4",0,1
"seq5",0,1
"seq6",0,3
"seq7",0,1
"seq8",1,0
"seq9",0,1
