"seq_unique","GC_B_cells","PCs"
"seq1",1,0
"seq2",1,0
"seq3",1,0
"seq4",1,0
"seq5",1,0
"seq6",0,6
"seq7",0,2
"seq8",0,1
"seq9",0,3
