"seq_unique","GC_B_cells","PCs"
"seq1",3,0
"seq10",5,0
"seq11",1,0
"seq12",1,0
"seq13",1,0
"seq14",1,0
"seq15",1,0
"seq16",1,0
"seq17",0,1
"seq18",0,1
"seq19",1,0
"seq2",1,0
"seq20",1,0
"seq21",1,0
"seq22",1,0
"seq23",1,0
"seq24",1,0
"seq25",0,1
"seq26",1,0
"seq27",0,1
"seq28",1,0
"seq29",1,0
"seq3",4,1
"seq30",1,0
"seq31",0,1
"seq32",0,6
"seq33",0,2
"seq34",0,1
"seq4",1,4
"seq5",6,0
"seq6",1,0
"seq7",1,0
"seq8",1,1
"seq9",7,1
