"seq_unique","HH153-SI-PP-nonINF_Fol-1","HH153-SI-PP-nonINF_Fol-15","HH153-SI-PP-nonINF_Fol-5","HH153-SI-PP-nonINF_Fol-19","HH153-SI-PP-nonINF_Fol-14","HH153-SI-PP-nonINF_Fol-3","HH153-SI-PP-nonINF_Fol-16","HH153-SI-PP-nonINF_Fol-17","HH153-SI-PP-nonINF_Fol-6","HH153-SILP-INF","HH153-SILP-nonINF","HH153-SI-PP-nonINF_Fol-2","HH153-SI-PP-nonINF_Fol-9","HH153-SI-PP-nonINF_Fol-12"
"seq81",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq82",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"seq83",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"seq84",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"seq85",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq86",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq87",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"seq88",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq89",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"seq9",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq90",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq91",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq92",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"seq93",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"seq94",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq95",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq96",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq97",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq98",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq99",0,0,0,0,1,0,0,0,0,0,0,0,0,0
