"seq_unique","GC_B_cells","PCs"
"seq1",2,0
"seq10",2,0
"seq11",1,0
"seq12",1,0
"seq13",1,0
"seq14",0,1
"seq15",0,1
"seq2",1,0
"seq3",2,0
"seq4",1,0
"seq5",1,0
"seq6",1,0
"seq7",1,0
"seq8",1,0
"seq9",1,0
