"seq_unique","GC_B_cells"
"seq1",1
"seq10",1
"seq11",4
"seq12",1
"seq13",1
"seq2",1
"seq3",1
"seq4",1
"seq5",2
"seq6",1
"seq7",1
"seq8",1
"seq9",1
